ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
test-1102	In 2012, she was selected to drive the North American Eagle Project jet car in which she will be attempting to break the land speed record for a woman (currently 512 mph). Valerie was later removed from this project and replaced by a different female rider, Jessi Combs. This began the downward spiral of her career, including the loss of Harley Davidson and Monster Energy as race sponsors.	her	305	Valerie	172	TRUE	Jessi Combs	258	FALSE	http://en.wikipedia.org/wiki/Valerie_Thompson
test-1430	Legends included elements such as someone entering into the state of sopor or coma, only to wake up years later and die a horrible death. Other legends tell of coffins opened to find a corpse with a long beard or corpses with the hands raised and palms turned upward. Of note is a legend about the premature burial of Ann Hill Carter Lee, the wife of Henry Lee III. On his deathbed in 1799, George Washington made his attendants promise not to bury him for two days.	his	369	Henry Lee III	351	FALSE	George Washington	391	TRUE	http://en.wikipedia.org/wiki/Taphophobia
development-306	Gooden claimed that an enraged Mitchell held him hostage during the alleged cat incident. Mitchell responded to Gooden's accusations by accusing Gooden of fabricating the stories in an attempt to divert attention away from Gooden's personal problems. In the famous tenth inning of Game 6 of the 1986 World Series, after Wally Backman and Keith Hernandez had been retired for the first two outs, Mitchell went to the clubhouse to make plane reservations for home in San Diego. However, he was called to pinch hit for reliever Rick Aguilera after Gary Carter, the next hitter after Hernandez, singled.	he	485	Keith Hernandez	338	FALSE	Mitchell	395	TRUE	http://en.wikipedia.org/wiki/Kevin_Mitchell_(baseball)
development-315	Maria was born in Modena to Francesco I d'Este, Duke of Modena and his consort Maria Caterina Farnese. A member of the House of Este, she was a princess of Modena by birth.	she	134	Maria	0	TRUE	Maria Caterina Farnese	79	FALSE	http://en.wikipedia.org/wiki/Maria_d'Este
test-1689	Upon retirement from DOTDF in 1993, Colten and his wife, the former Jane Kimmel (1923-2013), moved to the capital city of Frankfort, Kentucky, to be near their younger son, Lee Arthur Colten (born 1958), a conservationist for the State of Kentucky, and his wife the former Marianna Mahoney. Jane Colten was a native of DuQuoin, Illinois, the daughter of Roberta Pyatt and Maurice Edward Kimmel, and like her husband a graduate of DePauw University.	her	404	Jane Colten	291	TRUE	Roberta Pyatt	354	FALSE	http://en.wikipedia.org/wiki/Tom_Colten
development-936	Abandoning Las Noches, he sends a mail bomb to Al Garcia, whom he identifies as a ``traitor'' to the anti-Castro movement. Farcically, the bomb is instead opened by an over-eager Ricky Bloodworth, illegally sifting Garcia's mail for clues about the terrorists. Because of Bernal's poor construction, the bomb does not kill Bloodworth, it only injures him.	him	351	Bernal	272	FALSE	Bloodworth	323	TRUE	http://en.wikipedia.org/wiki/Tourist_Season_(novel)
test-1341	On 20 April, he won his first ATP singles title at the U.S. Men's Clay Court Championships, defeating World No. 8 James Blake in the final. He had saved two match points in the semifinals. The previous day, he and Pablo Cuevas lost in the doubles final. Following Rafael Nadal's announcement that he would not play the Davis Cup Final at Argentina on 21--23 November, Spain's Captain Emilio S*nchez announced that Marcel Granollers would replace Nadal.	he	297	Emilio S*nchez	384	FALSE	Marcel Granollers	414	FALSE	http://en.wikipedia.org/wiki/Marcel_Granollers
test-705	Is a distant relative of former Vice President Hannibal Hamlin. Narrowly survived an assassination attempt in 2003 by the father of a victim of a convicted killer he pardoned as governor. President Hamlin was left paralyzed from the waist down after his assassination attempt. Vice President Dan Sullivan and Secretary of State Bernie Phillips convince him not to resign.	him	353	Dan Sullivan	292	FALSE	Bernie Phillips	328	FALSE	http://en.wikipedia.org/wiki/List_of_fictional_presidents_of_the_United_States_(G%E2%80%93H)
development-586	The resignation took place in the aftermath of change of prime minister on 7 December 1916 when Lloyd George replaced HH Asquith as head of a new wartime coalition. Samuel was the brother of Herbert Samuel who had been a close associate and supporter of Asquith and who had been Home Secretary in Asquith's coalition. Herbert Samuel told Lloyd George that he could not serve in the new government and that he did not like the way it had come about.	he	356	Herbert Samuel	318	TRUE	Lloyd George	338	FALSE	http://en.wikipedia.org/wiki/Whitechapel_by-election,_1916
development-1241	The couple have two children: daughter Shirley (1989) and son David Pierre (1997). The children want to be artists. Shirley will sometimes appear on Roncalli. Larible grew up in Verona and in various circuses. His father Eugenio appeared as a juggler and together with his uncle Renzo on the trapeze. Besides his mother tongue Italian David Larible is fluent in French, Spanish, Portuguese, English and German.	his	309	Renzo	279	FALSE	David Larible	335	TRUE	http://en.wikipedia.org/wiki/David_Larible
test-1560	Little Mo is extremely hostile, seeing this as a questioning of her parenting ability. She constantly takes Freddie to see general practitioner Oliver Cousins (Tom Ellis), who moves her to another GP's patient list because he is interested in her romantically. They start dating in April 2006. Following her divorce, Little Mo and Oliver plan a night away in Brighton, but after a car crash caused by Deano Wicks (Matt Di Angelo) and Carly Wicks (Kellie Shirley), she gets cold feet, telling Oliver that she cannot leave Freddie.	her	304	Little Mo	317	TRUE	Carly Wicks	434	FALSE	http://en.wikipedia.org/wiki/Little_Mo_Mitchell
development-1039	He was the nephew of literary critic Korehito Kurahara, and older brother of film director Koretsugu Kurahara. His son Jun Iwasaki, a former producer for Ishihara International Productions Inc., is currently secretary to politician Nobuteru Ishihara. While a film student at Nihon University College of Art, he became a live-in student of Kajiro Yamamoto at the introduction of Ishir* Honda.	he	308	Jun Iwasaki	119	TRUE	Nobuteru Ishihara	232	FALSE	http://en.wikipedia.org/wiki/Koreyoshi_Kurahara
development-1619	St John's Church has special association with the activity of individuals within the South Sea Islander community and Anglican Church whose activities have been significant within the history of the region and state of Queensland, including Bishop George Halford, consecrated as Anglican Bishop of Rockhampton in 1909, who was greatly respected for his long and active support of the South Sea Islander community; and Frank Solomon, the South Sea Islander community's Vicar's representative on the first St John's Mission Church Committee, who dedicated his life to this church.	his	349	Frank Solomon	418	FALSE	Vicar	468	FALSE	http://en.wikipedia.org/wiki/St_John's_Anglican_Church,_Rockhampton
test-253	The group is operating in 25 countries, with 23 production sites and 34 distribution centers. She started her career at Procter and Gamble in 1982 and executed different functions in marketing in Belgium and Europe, strongly driven by her strong interest in consumers. In 1999, Marleen Vaesen was nominated President at Douwe Egberts Belgium, a subsidiary of Sara Lee. She was responsible for the retail activities, the out-of-home activities and the coffee roasting.	She	369	Marleen Vaesen	278	TRUE	Sara Lee	359	FALSE	http://en.wikipedia.org/wiki/Vlerick_Award
development-1444	Among the mourners were major politicians from both the blue and green camps such as Wang Jin-pyng of the Kuomintang and Ker Chien-Ming of the Democratic Progressive Party, as well as various celebrities of whom the most prominent was popular singer Jay Chou; they suffered harsh criticism for their attendance, including a Taipei Times editorial, which characterised the politicians' presence as ``revolting'' and stated that Chou ``should be ashamed, but we are not sure if he has the depth of character to feel it.'' Chou, who showed up wearing sunglasses and left after only 20 minutes, had become acquainted with Chen through his son Baron Chen, with whom Chou had previously worked in the filming of Kung Fu Dunk.	his	631	Chou	520	FALSE	Chen	618	TRUE	http://en.wikipedia.org/wiki/Chen_Chi-li
development-1669	She won the fight via TKO in the second round. She then fought Aya Saeid Saber at SFL 6, in which she won after stopping Saber from elbow strikes in the first round. She then competed against Sanja Sucevic at SFL 14 to crown the first SFL World Women's Flyweight Champion. After using her wrestling to control Sucevic in the first two rounds, Schneider submitted Sanja with a keylock to win her first title.	her	285	Sucevic	310	FALSE	Schneider	343	TRUE	http://en.wikipedia.org/wiki/Colleen_Schneider
development-41	Karl Philipp F*rst zu Schwarzenberg (or Charles Philip, Prince of Schwarzenberg (April 18, 1771 -- October 15, 1820) was an Austrian field marshal. Karl Philipp was born in Vienna as the son of Johann Nepomuk Anton of Schwarzenberg and Marie Eleonore Countess of *ttingen-Wallerstein. He entered the imperial cavalry in 1788, fought in 1789 under Lacy and Loudon against the Turks, distinguished himself by his bravery, and became major in 1792.	He	285	Johann Nepomuk	194	FALSE	Schwarzenberg	218	TRUE	http://en.wikipedia.org/wiki/Karl_Philipp,_Prince_of_Schwarzenberg
test-258	Signer officially announced his campaign for Lieutenant Governor on April 6, 2009 with a tour of 20 events across the state of Virginia. In the first quarter of 2009, Signer raised $250,000 from more than 800 donors. Signer has been critical of Lt. Gov. Bill Bolling for opposing a House of Delegates measure that would have used federal stimulus money to expand unemployment coverage by $125 million. He has received the endorsement of prominent rural strategist David ``Mudcat'' Saunders.	He	402	Signer	217	TRUE	Bill Bolling	254	FALSE	http://en.wikipedia.org/wiki/Michael_Signer
test-797	The 2008-09 Canada West Rookie of the Year, and first star of the game, Stephanie Ramsay, scored the first goal of the game. She received the feed from sophomore forward Sarah Hilworth (the game's third star) at the 7:16 mark of the first. Having five assists through her first six games, Tamara Pickford scored 30 seconds into the second period.	her	268	Sarah Hilworth	170	FALSE	Tamara Pickford	289	TRUE	http://en.wikipedia.org/wiki/2009%E2%80%9310_Alberta_Pandas_women's_ice_hockey_season
development-1294	Hurley refuses, and David ends up taking Sayid to Jack, who is successful in reviving him. At home, Hurley confesses to his mother Carmen that the Oceanic Six have been lying; she believes him, though doesn't understand his disjointed story. Later, Ben unexpectedly shows up at the house and tries to convince Hurley to go with him to meet up with the rest of the Oceanic Six, saying they all want the same thing--to go back to the island.	him	328	Ben	249	TRUE	Hurley	310	FALSE	http://en.wikipedia.org/wiki/The_Lie_(Lost)
development-1338	Tina is later annoyed when she discovers Shirley is allowing Sylvie to sleep all day to avoid caring for her, and when Shirley goes to prison to help alleviate Mick's debts, Tina accuses her of doing so just to avoid Sylvie. Tina then struggles on her own, and eventually decides to place her in care. The day before she is due to be asseessed, Tina throws Sylvie a party.	she	317	Tina	345	TRUE	Sylvie	357	FALSE	http://en.wikipedia.org/wiki/Tina_Carter
validation-256	Catherine Charlotte De la Gardie has been described as talented, brave, beautiful and clear sighted, without prejudices and with an open mind. She received but a shallow education meant to make her attractive on the marriage market, but she educated herself in various subjects and became a supporter of the age of enlightenment. She was a life friend of Olof von Dahlin and Carl von Linn*, who expressed his admiration of her.	his	405	Olof von Dahlin	355	FALSE	Carl von Linn*	375	TRUE	http://en.wikipedia.org/wiki/Catherine_Charlotte_De_la_Gardie
test-1016	In 1713 at the age of 24, she was married to her maternal cousin Louis Henri, Duke of Bourbon and Prince of Cond* since his father's death in 1710. He was commonly known as Monsieur le Duc. She and her brother married two Cond* siblings in a joint wedding ceremony at Versailles on 9 August. Her brother married Louise *lisabeth de Bourbon. After her marriage, Marie Anne took on the style of Her Serene Highness (Son Altesse s*r*nissime) Madame la Princesse de Cond*.	her	347	Louise *lisabeth de Bourbon	312	FALSE	Marie Anne	361	TRUE	http://en.wikipedia.org/wiki/Marie_Anne_de_Bourbon_(1689%E2%80%931720)
development-158	On 17 June 2005, after 12 years at Birmingham, Bennett transferred to Leeds United who already had Scottish international goalkeeper Neil Sullivan as first-choice goalkeeper. Despite playing the pre-season friendlies, he was limited to four league appearances during the 2005-06 season, obtained deputising for the injured Sullivan. In July 2006, Bennett transferred for an undisclosed fee to newly promoted Premiership club Sheffield United, signing on a two-year deal to provide competition to the Blades first-choice goalkeeper, Paddy Kenny. He played the first game of his second spell at the club at Bramall Lane against Reading on 16 September 2006.	He	545	Bennett	347	TRUE	Paddy Kenny	532	FALSE	http://en.wikipedia.org/wiki/Ian_Bennett_(footballer)
development-1857	Johnson was born in Mendota, Illinois, to George C. Johnson, a successful farmer, and his wife, Hanna. She attended Saint Mary's College in South Bend, Indiana, from 1882 to 1884, graduating at the top of her class.	She	103	Johnson	52	FALSE	Hanna	96	FALSE	http://en.wikipedia.org/wiki/Belle_Johnson
development-781	A neighbour of Ervine's who was a member of the Ulster Defence Association (UDA) William Irvine, had died in one of the bomb blasts on Bloody Friday. Before joining the UVF Ervine had attempted to join the Royal Ulster Constabulary (RUC), but due to a misdemeanour in his childhood involving a stolen bicycle, he was refused entry.	his	268	Ervine	15	TRUE	William Irvine	81	FALSE	http://en.wikipedia.org/wiki/David_Ervine
