ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
development-1330	It is up to James to continue the fight, which means bringing in a reinforcement in his friend Casey Bledsoe (Mark Griffin), and training some new recruits not of his choosing. Intending to give back to the streets that taught him toughness, Michael insists that James compose his team of bodyguards by hiring people from Michael's gym.	his	277	Michael	242	False	James	263	True	http://en.wikipedia.org/wiki/The_Hard_Corps
test-1958	However, a network mandate for creative changes had Elizabeth demoted back to Associate Head Writer, when Margaret DePriest was appointed head writer of All My Children in early 1989. But DePriest would not last long in the position, as Kate would resume head writing duties by the end of that year - once again with Elizabeth and a returned Wisner Washam as her Associate Head Writers.	her	359	Kate	237	True	Elizabeth	317	False	http://en.wikipedia.org/wiki/Lorraine_Broderick
development-584	Kate was born on June 27, 1986 to parents Donnie and Elizabeth. She has one younger brother, Donnie, and two older siblings: a sister, Brandy, and a brother, Alan.	She	64	Kate	0	True	Elizabeth	53	False	http://en.wikipedia.org/wiki/Kristal_Uzelac
development-165	In 1854, in order to live less expensively, Elizabeth moved her family to a log cabin in Boonsboro, Iowa. In 1856 Elizabeth married Ardon Benjamin Holcomb (Born June 23, 1804 in North Granby, Hartford, Connecticut; died September 29, 1879), a lawyer, and they had one son, Sumner White Holcomb (born August 29, 1857). In 1856 Henry Bacon, editor of the Ladies' Repository (published by Tompkins), made her corresponding editor. Bacon's successor, Kate, appointed Elizabeth assistant editor, 1861-65.	her	402	Kate	447	False	Elizabeth	463	True	http://en.wikipedia.org/wiki/Caroline_Soule
validation-7	Lieutenant General Weber Pasha wanted Faik Pasha to command the ``Right Wing''. But Liman Michael disliked him and he had a quarrel with Faik Pasha for about a tactics. Weber Pasha insisted on his decision. At last unwillingly Michael appointed Faik Pasha to the command of Right Wing. He fought the Battle of Gully Ravine (28 June -- 3 July 1915) that was a very bloody battle that caused Ottoman Army many casualties.	He	286	Michael	227	False	Faik Pasha	245	True	http://en.wikipedia.org/wiki/Faik_Pasha
test-1155	She is the first and only colored student to attend, and therefore is often assumed to be attending on scholarship, but in reality comes from a rich family. Millicent is an orphan who came to Buffalo from Ohio to live with her Aunt and Uncle, who had adopted her. She is mature for her age and is the first to tell Kate that Elizabeth is acting suicidal. She volunteers at the Fitch Creche, set up by Maria Love as the first daycare center in Buffalo, and is asked to escort Elizabeth home by Mrs.	She	355	Kate	315	False	Elizabeth	325	False	http://en.wikipedia.org/wiki/City_of_Light_(novel)
test-426	In 1991, he released another album, Tempted, and the title track became James's first Top 5 hit. In 1991, James co-wrote a song with Travis Michael called ``The Whiskey Ain't Workin'.'' The song was recorded as a duet on Michael's 1991 album It's All About to Change, and that became James's biggest hit. In 1992, his former record company, Columbia finally released his album Let There Be Country.	his	314	Michael	221	False	James	284	True	http://en.wikipedia.org/wiki/Marty_Stuart
development-1924	The concept of WAS is an adult parallel to the magical Land of Oz, that never existed as a real place. Instead, the novel explores the tragic, but very moving life of ``Kate'' in 1800s Kansas, whose traumatic experiences with Elizabeth and Uncle Henry after her mother's death lead her to create an imaginary and idealized world in her mind based on some of her real-life experiences as a way of coping with her bleak reality.	her	258	Kate	169	True	Elizabeth	226	False	http://en.wikipedia.org/wiki/Was_(novel)
development-623	He began formal training at the age of 9 where he studied at Norma's Academy of Dance under the direction of the late Norma B. Mitchell and her daughter Djana Bell. In 1984, Payne went to Northside School of the Arts, and studied under the direction of William G Densmore and performed in Atlanta's Showbiz Kids. He then joined the Harrison Dance company under the direction of Gary Harrison before moving to Los Angeles where he soon met longtime personal idols Kenny Ortega, Michael Peters, Debbie Allen, and Paula Abdul.	He	313	Payne	174	True	William G Densmore	253	False	http://en.wikipedia.org/wiki/Travis_Payne
development-1320	The men's race had a tighter lead pack than the women's for the first 20 mi (32 km), when Geoffrey Michael, the eventual winner, and Stanley James, the eventual fifth-place finisher, broke away from the pack. Michael and James continued to lead the pack after 22 mi (35 km). Michael then pulled ahead of James to lead by 9 seconds after 23 mi (37 km), and led him by 33 seconds after 24 mi (39 km).	him	360	Michael	275	False	James	304	True	http://en.wikipedia.org/wiki/2013_New_York_City_Marathon
test-1356	Michael is a Sierra Leonean journalist and writer, who is currently Sierra Leone State House Press Secretary to president Ernest Bai Koroma. He was appointed to the position in December 2007.	He	141	Michael	0	True	Ernest Bai Koroma	122	False	http://en.wikipedia.org/wiki/Sheka_Tarawalie
development-424	Writing a decade later, George C*linescu noted that Ruinelor Cet**ii Neam*u was ``a disgraceful replica of C*rlova's Ruinurile T*rgovi*tii''. He also stressed the misogyny present in several lyrics authored by Hrisoverghi, which he defined as ``(having) the stray impulses of Romantic jokes and featuring ridiculous invectives''. In respect to this, he cited the stanza: Besides his translation of Dumas' novel, Alexandru Hrisoverghi is noted for those of poems by James (to which he notably added his own verses), Friedrich Schiller (probably, through a French-language translation), Alphonse de Lamartine, and Victor Hugo.	his	379	Alexandru Hrisoverghi	412	True	James	465	False	http://en.wikipedia.org/wiki/Alexandru_Hrisoverghi
test-996	Feeling guilty, no doubt, for having inherited wealth, she came to deny herself some of the luxuries to which she was accustomed In compensation she collected the latest in experimental painting and gave money and meals to poor artists and writers.'' Michael, a principal organizer of the 1913 Armory Show along with John Frederick Mowbray-Clarke, was the designer of the interior of the shop. He chose a ``burning orange'' color for the walls and worked a prism of colors into the woodwork.	He	394	Michael	251	True	John Frederick Mowbray-Clarke	317	False	http://en.wikipedia.org/wiki/Madge_Jenison
test-1410	Colonel Joseph ``Jesse'' Wood is a retired United States Air Force tanker pilot and has been involved from the outset in the NUS/USE efforts to develop basic aircraft and build an air force. He is unpretentious and informal with a tendency to calmness when others would panic, perhaps necessary traits in the NUS air force's sole test pilot. He has a bent for organization and through the loss of his prot*g*, Michael, in the Battle of Wismar, has developed a strong dislike for the opponents of the NUS and James.	his	397	Michael	410	False	James	508	False	http://en.wikipedia.org/wiki/List_of_1632_characters_(fictional)
