ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
development-1330	It is up to Michael to continue the fight, which means bringing in a reinforcement in his friend Casey Bledsoe (Mark Griffin), and training some new recruits not of his choosing. Intending to give back to the streets that taught him toughness, John insists that Michael compose his team of bodyguards by hiring people from John's gym.	his	278	John	244	False	Michael	262	True	http://en.wikipedia.org/wiki/The_Hard_Corps
test-1958	However, a network mandate for creative changes had Kate demoted back to Associate Head Writer, when Margaret DePriest was appointed head writer of All My Children in early 1989. But DePriest would not last long in the position, as Alice would resume head writing duties by the end of that year - once again with Kate and a returned Wisner Washam as her Associate Head Writers.	her	350	Alice	232	True	Kate	313	False	http://en.wikipedia.org/wiki/Lorraine_Broderick
development-584	Alice was born on June 27, 1986 to parents Donnie and Kate. She has one younger brother, Donnie, and two older siblings: a sister, Brandy, and a brother, Alan.	She	60	Alice	0	True	Kate	54	False	http://en.wikipedia.org/wiki/Kristal_Uzelac
development-165	In 1854, in order to live less expensively, Kate moved her family to a log cabin in Boonsboro, Iowa. In 1856 Kate married Ardon Benjamin Holcomb (Born June 23, 1804 in North Granby, Hartford, Connecticut; died September 29, 1879), a lawyer, and they had one son, Sumner White Holcomb (born August 29, 1857). In 1856 Henry Bacon, editor of the Ladies' Repository (published by Tompkins), made her corresponding editor. Bacon's successor, Alice, appointed Kate assistant editor, 1861-65.	her	392	Alice	437	False	Kate	454	True	http://en.wikipedia.org/wiki/Caroline_Soule
validation-7	Lieutenant General Weber Pasha wanted Faik Pasha to command the ``Right Wing''. But Liman John disliked him and he had a quarrel with Faik Pasha for about a tactics. Weber Pasha insisted on his decision. At last unwillingly John appointed Faik Pasha to the command of Right Wing. He fought the Battle of Gully Ravine (28 June -- 3 July 1915) that was a very bloody battle that caused Ottoman Army many casualties.	He	280	John	224	False	Faik Pasha	239	True	http://en.wikipedia.org/wiki/Faik_Pasha
test-1155	She is the first and only colored student to attend, and therefore is often assumed to be attending on scholarship, but in reality comes from a rich family. Millicent is an orphan who came to Buffalo from Ohio to live with her Aunt and Uncle, who had adopted her. She is mature for her age and is the first to tell Alice that Kate is acting suicidal. She volunteers at the Fitch Creche, set up by Maria Love as the first daycare center in Buffalo, and is asked to escort Kate home by Mrs.	She	351	Alice	315	False	Kate	326	False	http://en.wikipedia.org/wiki/City_of_Light_(novel)
test-426	In 1991, he released another album, Tempted, and the title track became Michael's first Top 5 hit. In 1991, Michael co-wrote a song with Travis John called ``The Whiskey Ain't Workin'.'' The song was recorded as a duet on John's 1991 album It's All About to Change, and that became Michael's biggest hit. In 1992, his former record company, Columbia finally released his album Let There Be Country.	his	314	John	222	False	Michael	282	True	http://en.wikipedia.org/wiki/Marty_Stuart
development-1924	The concept of WAS is an adult parallel to the magical Land of Oz, that never existed as a real place. Instead, the novel explores the tragic, but very moving life of ``Alice'' in 1800s Kansas, whose traumatic experiences with Kate and Uncle Henry after her mother's death lead her to create an imaginary and idealized world in her mind based on some of her real-life experiences as a way of coping with her bleak reality.	her	254	Alice	169	True	Kate	227	False	http://en.wikipedia.org/wiki/Was_(novel)
development-623	He began formal training at the age of 9 where he studied at Norma's Academy of Dance under the direction of the late Norma B. Mitchell and her daughter Djana Bell. In 1984, Payne went to Northside School of the Arts, and studied under the direction of William G Densmore and performed in Atlanta's Showbiz Kids. He then joined the Harrison Dance company under the direction of Gary Harrison before moving to Los Angeles where he soon met longtime personal idols Kenny Ortega, Michael Peters, Debbie Allen, and Paula Abdul.	He	313	Payne	174	True	William G Densmore	253	False	http://en.wikipedia.org/wiki/Travis_Payne
development-1320	The men's race had a tighter lead pack than the women's for the first 20 mi (32 km), when Geoffrey John, the eventual winner, and Stanley Michael, the eventual fifth-place finisher, broke away from the pack. John and Michael continued to lead the pack after 22 mi (35 km). John then pulled ahead of Michael to lead by 9 seconds after 23 mi (37 km), and led him by 33 seconds after 24 mi (39 km).	him	357	John	273	False	Michael	299	True	http://en.wikipedia.org/wiki/2013_New_York_City_Marathon
test-1356	John is a Sierra Leonean journalist and writer, who is currently Sierra Leone State House Press Secretary to president Ernest Bai Koroma. He was appointed to the position in December 2007.	He	138	John	0	True	Ernest Bai Koroma	119	False	http://en.wikipedia.org/wiki/Sheka_Tarawalie
development-424	Writing a decade later, George C*linescu noted that Ruinelor Cet**ii Neam*u was ``a disgraceful replica of C*rlova's Ruinurile T*rgovi*tii''. He also stressed the misogyny present in several lyrics authored by Hrisoverghi, which he defined as ``(having) the stray impulses of Romantic jokes and featuring ridiculous invectives''. In respect to this, he cited the stanza: Besides his translation of Dumas' novel, Alexandru Hrisoverghi is noted for those of poems by Michael (to which he notably added his own verses), Friedrich Schiller (probably, through a French-language translation), Alphonse de Lamartine, and Victor Hugo.	his	379	Alexandru Hrisoverghi	412	True	Michael	465	False	http://en.wikipedia.org/wiki/Alexandru_Hrisoverghi
test-996	Feeling guilty, no doubt, for having inherited wealth, she came to deny herself some of the luxuries to which she was accustomed In compensation she collected the latest in experimental painting and gave money and meals to poor artists and writers.'' Arthur Davies, a principal organizer of the 1913 Armory Show along with John Frederick Mowbray-Clarke, was the designer of the interior of the shop. He chose a ``burning orange'' color for the walls and worked a prism of colors into the woodwork.	He	400	Arthur Davies	251	True	John Frederick Mowbray-Clarke	323	False	http://en.wikipedia.org/wiki/Madge_Jenison
test-1410	Colonel Joseph ``Jesse'' Wood is a retired United States Air Force tanker pilot and has been involved from the outset in the NUS/USE efforts to develop basic aircraft and build an air force. He is unpretentious and informal with a tendency to calmness when others would panic, perhaps necessary traits in the NUS air force's sole test pilot. He has a bent for organization and through the loss of his prot*g*, John, in the Battle of Wismar, has developed a strong dislike for the opponents of the NUS and Michael.	his	397	John	410	False	Michael	505	False	http://en.wikipedia.org/wiki/List_of_1632_characters_(fictional)
development-44	Among which: 3 (``Limpido / Limpio'', ``Se non te / Sino a ti'' and ``Dove resto solo io / Donde quedo solo yo'') are completely new and written for this album (all these three tracks were chosen as the singles of the album). The first single of the album, ``Limpido / Limpio'', is included in its solo and duet versions with Kylie Minogue. 2 (``Ramaya'' and ``Alice'') are amateur recordings of Kate singing the famous song ``Ramaya'' when she was two years old (the former) and her daughter saying the word ``mamma'' (mommy) for the first time (the latter).	she	441	Alice	361	False	Kate	396	True	http://en.wikipedia.org/wiki/20_%E2%80%93_The_Greatest_Hits_(Laura_Pausini_album)
test-1063	The crater, Ulugh Beigh, on the Moon, was named after him by the German astronomer Johann Heinrich von M*dler on his 1830 map of the Moon. 2439 John, a main-belt asteroid which was discovered on 21 August 1977 by Michael. Chernykh at Michaelauchnyj, was named after him.	him	266	John	144	False	Michael	213	True	http://en.wikipedia.org/wiki/Ulugh_Beg
test-1262	The BMI takes the sum of the inflation and unemployment rates, and adds to that the interest rate, plus (minus) the shortfall (surplus) between the actual and trend rate of GDP growth. In the late 2000s, Johns Hopkins economist Steve Hanke built upon Barro's misery index and began applying it to countries beyond the United States. His modified misery index is the sum of the interest, inflation, and unemployment rates, minus the year-over-year percent change in per-capita GDP growth.	His	333	Steve Hanke	228	True	Barro	251	False	http://en.wikipedia.org/wiki/Misery_index_(economics)
test-911	First owned by Gene Sens, WZLE's first studios were located in what was formerly a shoe store at the Sheffield Shopping Center. The station was programmed by Jeff Baxter; David Michael served as production voice (previously, Baxter was John's radio partner at WERE in the 1960s; Michael was the promotional voice of many TV and radio stations around the world from the 1970s, something he would continue into the 21st century).	he	386	John	236	False	Michael	279	True	http://en.wikipedia.org/wiki/WCLV
test-650	However, the team's biggest success was in the UEFA Champions League; for the first time in its history, Valencia reached a European Cup final. However, in the Final in Paris on 24 May 2000, Real Madrid beat Los Che 3--0. It was also Claudio L*pez's farewell, as he had agreed to sign for the Italian side Lazio, also leaving was John for Internazionale and Michael for Barcelona.	he	263	John	330	False	Michael	358	False	http://en.wikipedia.org/wiki/Valencia_CF
test-683	23 June -- Launching a long campaign at the Sydney Opera House, Prime Minister Bob Hawke promises that ``no child will be living in poverty by the year 1990'' and woos the environmental vote by promising no mining in Kakadu. 25 June -- Federal Opposition Leader John Howard makes his policy speech as a rousing call to middle Australia. 11 July -- With a good deal of help from the Joh for Canberra campaign which splits the conservative vote between his National Party and the Liberal Party's John Howard, prime minister Bob Hawke's ALP government is re-elected for a third term.	his	451	John Howard	494	False	Bob Hawke	522	False	http://en.wikipedia.org/wiki/1987_in_Australia
test-486	Named ''Prince consort of French chanson`` by Alice in the newspaper Le Saule in January 2011 or compared to Berlioz by *ric Loret (''If Gainsbourg was Chopin``, Lib*ration, May 2010), Areski has also collaborated with Kate, Georges Moustaki or Sapho. With her, he contributed to the Voix de la M*diterran*e festival in Lod*ve.	her	257	Alice	46	False	Kate	219	False	http://en.wikipedia.org/wiki/Areski_Belkacem
test-845	Although initially puzzling - such as when he is outside college, seemingly lost in a daydream - the situation quickly becomes alarming, as John damages a shop window at night and is arrested. Terrified of going back to quarantine, John does not inform his father of his blackouts. Eventually the purpose of his blackouts become clear, and John is revealed to be the man responsible for the assassination of Michael. Under the advice of his father, John originally intends to keep his actions a secret, but guilt overwhelms him as another man is arrested and charged.	his	437	John	340	True	Michael	408	False	http://en.wikipedia.org/wiki/Kyle_Baldwin
development-1614	In 1965, the Cook sisters were honored as Righteous Gentiles by the Yad Vashem Martyrs and Heroes Remembrance Authority in Israel. Between 1936 and 1985, Ida Cook wrote 112 romance novels as Kate for Mills & Boon (many of which were later republished by Harlequin). She helped to found, and from 1966 to 1986 was the second president of, the Romantic Novelists' Association.	She	266	Ida Cook	154	True	Kate	191	False	http://en.wikipedia.org/wiki/Mary_Burchell
test-1603	Anna Katharina Sch*nkopf (pronounced (*ana* kata**ri*na* ****nk*pf); also called ``K*thchen`` ((*k**t**n)) and ``Alice`` ((a*n*t*)); * 22 August 1746 Leipzig - 20 May 1810 ibidem) was the daughter of the pewterer and wine merchant Christian Gottlieb Sch*nkopf ((*kr*sti*a*n *g*tli*p...); 1716-1791) and his wife Katharina Sibylla ((...zy**b*la*...)), born Hauck ((*ha*k); 1714-1790). The young Johann Wolfgang Goethe, who studied in Leipzig from 1765 to 1768, fell in love with her in 1766.	her	478	Alice	113	True	Katharina Sibylla	312	False	http://en.wikipedia.org/wiki/Anna_Katharina_Sch%C3%B6nkopf
test-81	She meets Alice, a Japanese student, at a bar. Alice and Kate return to Kate's home but Alice is perturbed at Kate's description of the death of her mother and the statement that Kate murdered her father. Alice tries to leave, but off screen Kate murders her, chops her up and bags the organs, putting them in her refrigerator.	her	255	Alice	205	True	Kate	242	False	http://en.wikipedia.org/wiki/The_Eyes_of_My_Mother
development-1247	Lester and Davis shared some crucial scenes in the film, and it was soon being reported that Davis was very taken by the handsome young Englishman, going out of her way to help him and put him at his ease on set. It is generally believed that a brief relationship of some description developed between the two, although nothing came of it. Writer John, a long-time friend of Davis, recalled: ``She found Michael attractive and sweet, but he was a bit tame for her speed.''	he	438	John	347	False	Michael	404	True	http://en.wikipedia.org/wiki/Bruce_Lester
